area,model,mae,rmse,mape,smape,mase,skill,n_parameters
5161,persistence,92.80192555321588,134.87774845302266,9.194349578037649,9.096467033596944,0.26713780622176037,0.7328621937782396,0
5161,seasonal_naive,338.5937098397149,619.0400245423655,25.939769480819802,22.828101592171574,0.9746692248880207,0.025330775111979342,0
5161,dlinear,83.20519147451934,127.04305779106707,7.696808411019839,7.643257653800421,0.2395128353669637,0.7604871646330363,290
5161,tcn,79.55070261816596,121.51355869891985,7.227333213115192,7.1447453651443436,0.22899309528475714,0.7710069047152428,34753
5161,gru,81.36430691834103,122.81509829111421,7.907225007547932,7.707713674247282,0.23421370112041193,0.765786298879588,12929
4159,persistence,15.952484297373939,21.54443417620284,6.982253513470381,6.94254803364874,0.19496645124900924,0.8050335487509908,0
4159,seasonal_naive,51.1873440969558,84.64291161041471,21.80432638900272,20.486225099277505,0.6255962796395448,0.3744037203604552,0
4159,dlinear,14.28435106101112,19.539439608319547,6.1416586825515695,6.134941515030256,0.17457903000216796,0.8254209699978321,290
4159,tcn,13.570562455371551,18.748864428271247,5.724419417084773,5.724411138094959,0.16585532096793093,0.834144679032069,34753
4159,gru,14.068185717891167,19.395379591159124,6.131921986151365,6.0725758359282604,0.17193712238166903,0.828062877618331,37889
4556,persistence,28.861586071196058,39.62096429732282,6.599804255070037,6.553265771559603,0.25705391846064257,0.7429460815393574,0
4556,seasonal_naive,76.33840131002759,108.35136089033534,17.45821595351033,15.869754250745128,0.679903215899404,0.32009678410059605,0
4556,dlinear,25.608805395827627,34.75099813603453,5.791171364098476,5.762066205887421,0.22808323000180625,0.7719167699981937,290
4556,tcn,25.9082570300093,34.82227993296115,5.9534351659665035,5.844126083591514,0.23075027732782494,0.7692497226721751,34753
4556,gru,26.758368747631042,36.10219727471259,6.125543837445728,5.995075673917861,0.23832174438458745,0.7616782556154126,37889
