model,mae,rmse,mape,smape,mase,skill,n_parameters
persistence,92.80192555321588,134.87774845302266,9.194349578037649,9.096467033596944,0.26713780622176037,0.7328621937782396,0
seasonal_naive,338.5937098397149,619.0400245423655,25.939769480819802,22.828101592171574,0.9746692248880207,0.025330775111979342,0
dlinear,83.20519147451934,127.04305779106707,7.696808411019839,7.643257653800421,0.2395128353669637,0.7604871646330363,290
tcn,79.55070261816596,121.51355869891985,7.227333213115192,7.1447453651443436,0.22899309528475714,0.7710069047152428,34753
gru,81.36430691834103,122.81509829111421,7.907225007547932,7.707713674247282,0.23421370112041193,0.765786298879588,12929
