model,mae,rmse,mape,smape,mase,skill,n_parameters
persistence,15.952484297373939,21.54443417620284,6.982253513470381,6.94254803364874,0.19496645124900924,0.8050335487509908,0
seasonal_naive,51.1873440969558,84.64291161041471,21.80432638900272,20.486225099277505,0.6255962796395448,0.3744037203604552,0
dlinear,14.28435106101112,19.539439608319547,6.1416586825515695,6.134941515030256,0.17457903000216796,0.8254209699978321,290
tcn,13.570562455371551,18.748864428271247,5.724419417084773,5.724411138094959,0.16585532096793093,0.834144679032069,34753
gru,14.068185717891167,19.395379591159124,6.131921986151365,6.0725758359282604,0.17193712238166903,0.828062877618331,37889
