model,mae,rmse,mape,smape,mase,skill,n_parameters
persistence,28.861586071196058,39.62096429732282,6.599804255070037,6.553265771559603,0.25705391846064257,0.7429460815393574,0
seasonal_naive,76.33840131002759,108.35136089033534,17.45821595351033,15.869754250745128,0.679903215899404,0.32009678410059605,0
dlinear,25.608805395827627,34.75099813603453,5.791171364098476,5.762066205887421,0.22808323000180625,0.7719167699981937,290
tcn,25.9082570300093,34.82227993296115,5.9534351659665035,5.844126083591514,0.23075027732782494,0.7692497226721751,34753
gru,26.758368747631042,36.10219727471259,6.125543837445728,5.995075673917861,0.23832174438458745,0.7616782556154126,37889
